row,shift,method,peak_height_frac,peak_fwhm_pts,xcorr_lag,stretched_flag
494,1505,zero_peak,0.08849283716953586,128,6780,True
495,1263,zero_peak,0.10368295259755876,170,6996,False
496,1263,zero_peak,0.1036829525975591,170,6996,False
497,1287,zero_peak,0.1364233609519768,170,6987,False
498,1287,zero_peak,0.13642336095197677,170,6987,False
499,764,zero_peak,0.541573213250315,102,-759,False
500,743,zero_peak,0.4310360214483239,112,-757,False
501,1492,zero_peak,0.03895293646356182,188,-2870,False
502,707,zero_peak,0.4299771548689054,125,-755,False
503,784,zero_peak,0.4655619119982834,112,-761,False
504,1263,zero_peak,0.16126550979734436,188,4305,False
505,1263,zero_peak,0.1612655097973439,188,4305,False
506,1315,zero_peak,0.10114033121856762,167,5505,False
507,1315,zero_peak,0.10114033121856496,167,5505,False
508,734,zero_peak,0.48579819520789835,112,-761,False
509,769,zero_peak,0.28355831801710335,126,-762,False
510,1282,zero_peak,0.12010374266857365,162,6984,False
511,1282,zero_peak,0.12010374266857339,162,6984,False
512,1263,zero_peak,0.1092150547579693,169,4311,False
513,1263,zero_peak,0.10921505475797016,169,4311,False
514,774,zero_peak,0.3398149463508205,106,-757,False
