bmse_id,simulation,name,inchi,inchi_skeleton,formula,ref_field_mhz,n_sim_points,roi_rmsd,ph,temperature_k,solvent,reference,sim_csv,has_field
bmse000637,simulation_1,Phosphonoacetic acid,"InChI=1S/C2H5O5P/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H2,5,6,7)","1S/C2H5O5P/c3-2(4)1-8(5,6)7",C2H5O5P,499.84,32768,0.00679,,,,,/reboxitory/2023/12/GISSMO/bmse000637/simulation_1/B0s/sim_600MHz.csv,True
bmse000639,simulation_1,1-Methylnicotinamide,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1",1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10,C7H8N2O,400.13,32768,0.02214,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000639/simulation_1/B0s/sim_600MHz.csv,True
bmse000640,simulation_1,2-4-5-Trichlorophenoxyacetic-acid,"InChI=1S/C8H5Cl3O3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13/h1-2H,3H2,(H,12,13)",1S/C8H5Cl3O3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13,C8H5Cl3O3,400.13,32768,0.01897,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000640/simulation_1/B0s/sim_600MHz.csv,True
bmse000641,simulation_1,3-Ureidopropionic acid,"InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)",1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8,C4H8N2O3,400.13,32768,0.00432,N/A,298,,,/reboxitory/2023/12/GISSMO/bmse000641/simulation_1/B0s/sim_600MHz.csv,True
bmse000645,simulation_1,Indole-3-carboxaldehyde,"InChI=1S/C9H7NO/c11-6-7-5-10-9-4-2-1-3-8(7)9/h1-6,10H",1S/C9H7NO/c11-6-7-5-10-9-4-2-1-3-8(7)9,C9H7NO,400.13,32768,0.01399,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000645/simulation_1/B0s/sim_600MHz.csv,True
bmse000646,simulation_1,Indole-3-pyruvic-acid,"InChI=1S/C11H9NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H,14,15)",1S/C11H9NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9,C11H9NO3,400.13,32768,0.08575,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000646/simulation_1/B0s/sim_600MHz.csv,True
bmse000647,simulation_1,Metaldehyde,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",1S/C2H4O/c1-2-3,C2H4O,400.13,32768,0.00780,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000647/simulation_1/B0s/sim_600MHz.csv,True
bmse000648,simulation_1,Rosmarinic-acid,"InChI=1S/C18H16O8/c19-12-4-1-10(7-14(12)21)3-6-17(23)26-16(18(24)25)9-11-2-5-13(20)15(22)8-11/h1-8,16,19-22H,9H2,(H,24,25)/b6-3+/t16-/m1/s1",1S/C18H16O8/c19-12-4-1-10(7-14(12)21)3-6-17(23)26-16(18(24)25)9-11-2-5-13(20)15(22)8-11,C18H16O8,400.13,32768,0.02584,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000648/simulation_1/B0s/sim_600MHz.csv,True
bmse000653,simulation_1,O-O-diethyl-thiophosphate,"InChI=1S/C4H11O3PS.K/c1-3-6-8(5,9)7-4-2;/h3-4H2,1-2H3,(H,5,9);/q;+1/p-1","1S/C4H11O3PS.K/c1-3-6-8(5,9)7-4-2;",C4H11O3PS.K,499.84,32768,0.01347,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000653/simulation_1/B0s/sim_600MHz.csv,True
bmse000654,simulation_1,2-Methylglutaric-acid,"InChI=1S/C6H10O4/c1-4(6(9)10)2-3-5(7)8/h4H,2-3H2,1H3,(H,7,8)(H,9,10)/t4-/m1/s1",1S/C6H10O4/c1-4(6(9)10)2-3-5(7)8,C6H10O4,499.84,32768,0.01600,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000654/simulation_1/B0s/sim_600MHz.csv,True
bmse000655,simulation_1,Cis-1-2-dihydronaphthalene-1-2-diol,"InChI=1S/C10H10O2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-6,9-12H/t9-,10+/m0/s1",1S/C10H10O2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12,C10H10O2,499.84,32768,0.01512,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000655/simulation_1/B0s/sim_600MHz.csv,True
bmse000658,simulation_1,Phenylacetylglycine,"InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)",1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8,C10H11NO3,499.84,32768,0.01600,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000658/simulation_1/B0s/sim_600MHz.csv,True
bmse000659,simulation_1,2-Phenylethanol,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",1S/C8H10O/c9-7-6-8-4-2-1-3-5-8,C8H10O,499.84,32768,0.01282,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000659/simulation_1/B0s/sim_600MHz.csv,True
bmse000660,simulation_1,Phosphonoacetic-acid,"InChI=1S/C2H5O5P/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H2,5,6,7)","1S/C2H5O5P/c3-2(4)1-8(5,6)7",C2H5O5P,499.84,32768,0.01479,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000660/simulation_1/B0s/sim_600MHz.csv,True
bmse000661,simulation_1,2-5-Dichlorohydroquinone,"InChI=1S/C6H4Cl2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,9-10H",1S/C6H4Cl2O2/c7-3-1-5(9)4(8)2-6(3)10,C6H4Cl2O2,499.84,32768,0.00906,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000661/simulation_1/B0s/sim_600MHz.csv,True
bmse000662,simulation_1,4-Isopropylbenzoic-acid,"InChI=1S/C10H12O2/c1-7(2)8-3-5-9(6-4-8)10(11)12/h3-7H,1-2H3,(H,11,12)",1S/C10H12O2/c1-7(2)8-3-5-9(6-4-8)10(11)12,C10H12O2,499.84,32768,0.01115,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000662/simulation_1/B0s/sim_600MHz.csv,True
bmse000666,simulation_1,Carbazole,"InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H",1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11,C12H9N,499.84,32768,0.01616,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000666/simulation_1/B0s/sim_600MHz.csv,True
bmse000668,simulation_1,Benzamide,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6,C7H7NO,499.84,32768,0.01647,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000668/simulation_1/B0s/sim_600MHz.csv,True
bmse000670,simulation_1,P-hydroxyacetophenone,"InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3",1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7,C8H8O2,499.84,65536,0.00679,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000670/simulation_1/B0s/sim_600MHz.csv,True
