path,extension,size_bytes,size_mb,shape,dtype,read_error
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_20260519_092803_bs16_mr0.35_ps1024_best.pth,.pth,22650354,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_20260519_092803_reconstructions.png,.png,1060384,1.01,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_20260519_092803_test_reconstructions.png,.png,1624564,1.55,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_20260519_092803_test_results.json,.json,155,0.00,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_20260519_092803_training_curves.png,.png,301442,0.29,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260519_121249_bs16_mr0.35_ps1024_best.pth,.pth,22651914,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260519_122423_bs16_mr0.35_ps1024_best.pth,.pth,22651914,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260520_014209_bs16_mr0.35_ps1024_best.pth,.pth,22651914,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260520_014209_reconstructions.png,.png,1061063,1.01,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260520_014209_test_reconstructions.png,.png,1673652,1.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260520_014209_test_results.json,.json,154,0.00,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_WS625to680Zero_merged2_20260520_014209_training_curves.png,.png,292261,0.28,,,
SSL_models/best_model_2025-09-28_00-39-22.pth,.pth,212011194,202.19,,,
SSL_models/checkpoint_epoch_100_20251009_225655.pth,.pth,6094748,5.81,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_bs32_mr0.20_ps1024_best.pth,.pth,22648340,21.60,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_reconstructions.png,.png,1133130,1.08,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_training_curves.png,.png,300658,0.29,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_bs32_mr0.40_ps1024_best.pth,.pth,22648340,21.60,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_reconstructions.png,.png,1135522,1.08,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_training_curves.png,.png,291110,0.28,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_bs32_mr0.50_ps1024_best.pth,.pth,22648340,21.60,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_reconstructions.png,.png,1164211,1.11,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_training_curves.png,.png,287407,0.27,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_bs32_mr0.30_ps1024_best.pth,.pth,22648340,21.60,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_reconstructions.png,.png,1156262,1.10,,,
SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_training_curves.png,.png,291016,0.28,,,
SSL_models/combined_unique_20260529_124823_bs16_mr0.15_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_125653_bs16_mr0.35_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_125814_bs16_mr0.50_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_134104_bs16_mr0.50_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_134104_reconstructions.png,.png,1083858,1.03,,,
SSL_models/combined_unique_20260529_134104_training_curves.png,.png,286843,0.27,,,
