lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
199,6368,0.5830078125,0.5482810751003719,0.6516656204847269,0.04190643184889226
200,6400,0.5859375,0.5492273442384777,0.6511314742552684,0.04161538280475588
201,6432,0.5888671875,0.549992086650264,0.6513583040348725,0.04190262156602209
202,6464,0.591796875,0.5517496299511232,0.6519447775240107,0.042405209520372474
203,6496,0.5947265625,0.5523299784053617,0.6521458834391078,0.041699133549681244
204,6528,0.59765625,0.5528786219483356,0.6521358323148836,0.039853802464577384
205,6560,0.6005859375,0.5536777774971485,0.6524237108274735,0.0396711705309365
206,6592,0.603515625,0.5543117981058525,0.6522717926579872,0.03782702127787577
207,6624,0.6064453125,0.5543790599542271,0.6518945482593343,0.036595602680612016
208,6656,0.609375,0.555068821072954,0.6518711719245308,0.03660951910071314
209,6688,0.6123046875,0.5554153148618766,0.6517679942560148,0.03561803002477545
210,6720,0.615234375,0.5547870816194188,0.6517301391491946,0.03346963382291847
211,6752,0.6181640625,0.5555968110128328,0.6513048249913862,0.034918272823270875
212,6784,0.62109375,0.5552469439088863,0.6507223108074417,0.03564382642765424
213,6816,0.6240234375,0.5544064544929693,0.6509415671759526,0.03536730677352844
214,6848,0.626953125,0.5542119059667849,0.6510739017093988,0.03698830811101111
215,6880,0.6298828125,0.5532097706951153,0.6503171181236251,0.037090236591337734
216,6912,0.6328125,0.5524345254267382,0.6492560302320207,0.03696945951607954
