row,votes,corr_to_median,pca_resid,iso_score
9385,1,0.020716889,0.381937,0.4591068328464052
9398,1,0.044072345,0.37989444,0.5790432429806484
9389,1,0.05145853,0.37917718,0.5691820691367935
636,1,0.020343065,0.3771588,0.4666090506761978
1900,1,0.078676164,0.3766392,0.5746974348095896
32,1,0.035815902,0.37493098,0.4727607342578226
9564,1,0.21565145,0.3749289,0.5610904207977444
9445,1,0.22625713,0.35573694,0.5627688717168334
85,1,0.039663192,0.35428578,0.45567338635440313
9565,1,-0.005109013,0.35124442,0.44115335300076186
9566,1,-0.005109013,0.35124442,0.44115335300076186
117,1,0.041713756,0.35043788,0.45850988918464425
477,1,0.016058045,0.34952885,0.45699467113643355
478,1,0.016058045,0.34952885,0.45699467113643355
223,1,0.038356192,0.34770468,0.4597150868642206
454,1,0.037075564,0.34669885,0.4524885063764551
324,1,0.01181918,0.3453504,0.4692976088423161
515,1,0.03463775,0.3452378,0.45011502776737683
201,1,0.022082804,0.3451832,0.47295785579167005
371,1,0.025031893,0.34319225,0.4630591736983968
9324,1,0.0563151,0.341925,0.5829074851492954
9442,1,0.042238407,0.34101245,0.5777483943559286
9402,1,0.16811007,0.3401973,0.5580529028752756
9350,1,0.04236173,0.3393005,0.5889360475540318
29,1,0.026943421,0.3389202,0.4655775912346556
9447,1,0.25294083,0.33866733,0.5542420058580412
9309,1,0.06456643,0.33849666,0.554962832423062
8490,1,0.08859731,0.33838275,0.5800899251249113
101,1,0.034376577,0.33831307,0.46846112042792704
9559,1,0.211664,0.33776695,0.5713309866105822
340,1,0.012531812,0.33767828,0.4783007461281487
9386,1,0.27219847,0.33542082,0.5502526028044322
9561,1,0.23978055,0.33202046,0.5494766460275786
1487,1,0.4833836,0.33026633,0.5522462876405888
564,1,0.037279557,0.33019176,0.4301380140450555
565,1,0.037279557,0.33019176,0.4301380140450555
146,1,0.02128531,0.32847986,0.4644919852830082
9326,1,0.043894757,0.32824084,0.5859241209701167
8,1,0.033878595,0.32776448,0.46273644776533485
403,1,0.039718,0.3277319,0.431246080552013
8268,1,0.4928999,0.32611006,0.552931448267067
8225,1,0.16801646,0.32453835,0.5528462351376535
69,1,0.030703008,0.32053596,0.4716838889199881
5048,1,0.4857593,0.31647834,0.5562663006454202
9266,1,0.047046497,0.31628343,0.5751634856964494
9365,1,0.04234691,0.31609407,0.5951409320447419
9279,1,0.044024207,0.31549755,0.5875364894766978
9285,1,0.053365476,0.3135649,0.5865744293511915
9294,1,0.048312895,0.3122995,0.5918090973009821
64,1,0.036867,0.3116247,0.45421470221036775
173,1,0.025329195,0.31105086,0.4756041481132227
186,1,0.04097622,0.31085435,0.4604755389353182
332,1,0.02732982,0.31023464,0.4560828256038943
741,1,0.03918668,0.31017122,0.4531927705736872
134,1,0.020640915,0.3082425,0.4754327079907995
46,1,0.022459976,0.30756488,0.46958769912287623
455,1,0.040173747,0.30573055,0.4368322030147166
351,1,0.0360049,0.3043733,0.4530850818025799
323,1,0.031393223,0.30412772,0.4626019067451862
312,1,0.034423325,0.3032531,0.4768567882099918
9360,1,0.04788127,0.30198684,0.581515686796327
6764,1,0.5103525,0.30099037,0.5586028776329008
9302,1,0.05031818,0.2999399,0.5806124563756244
8872,1,0.20442015,0.2993528,0.5586798825184511
3,1,0.03357906,0.2992846,0.4561802268731559
9216,1,0.051327795,0.29922807,0.5959639543304394
9405,1,0.071597904,0.29596737,0.5796369122464216
