corpus_row,acqu_SW,proc_OFFSET,source
307,11.9877540426485,,workbench
308,20.0306216932426,14.6937093736926,serum
309,11.9877540017021,10.8057262394356,serum
310,11.9877540017021,10.8057262394356,serum
311,11.9877540426485,,workbench
312,11.9877540426485,,workbench
313,11.9877539423796,10.8125950210736,serum
314,11.9877539423796,10.8125950210736,serum
315,20.0306216932426,14.693725586298,serum
316,11.9877539811911,10.8090996537026,serum
317,11.9877539811911,10.8090996537026,serum
318,20.0306216932426,14.6935758590442,serum
319,11.9877540426485,,workbench
320,11.9877540426485,,workbench
321,11.9877539825337,10.808206065243,serum
322,11.9877539825337,10.808206065243,serum
323,11.9877540426485,,workbench
324,11.9877540426485,,workbench
325,20.0306216932426,14.6938791265996,serum
326,20.0306216932426,14.6937475200854,serum
327,20.0306216932426,14.6951007846591,serum
328,11.9877540426485,,workbench
329,11.9877539908892,10.8142697719259,serum
330,11.9877539908892,10.8142697719259,serum
331,11.9877540426485,,workbench
332,11.9877540426485,,workbench
333,11.9877540426485,,workbench
334,11.9877540426485,,workbench
335,11.9877540426485,,workbench
336,11.9877540426485,,workbench
337,11.9877539801482,10.8081357241696,serum
338,11.9877539801482,10.8081357241696,serum
339,11.9877540426485,,workbench
340,11.9877540426485,,workbench
341,11.9877539815268,10.8086205758132,serum
342,11.9877539815268,10.8086205758132,serum
343,11.9877540426485,,workbench
344,20.0306216932426,14.6944694525159,serum
345,11.9877540426485,,workbench
346,11.9877540426485,,workbench
347,11.9877539395828,10.8107954737593,serum
348,11.9877539395828,10.8107954737593,serum
349,11.9877540426485,,workbench
350,11.9877540426485,,workbench
351,11.9877540426485,,workbench
352,11.9877540426485,,workbench
353,11.9877540426485,,workbench
354,20.0306216932426,14.694934844989,serum
355,11.9877539829533,10.8091959852571,serum
356,11.9877539829533,10.8091959852571,serum
357,11.9877540426485,,workbench
358,11.9877540426485,,workbench
359,11.9877540426485,,workbench
360,11.9877540426485,,workbench
361,20.0306216932426,14.6944265364503,serum
362,20.0306216932426,14.6952781672619,serum
363,20.0306216932426,14.6937627792868,serum
364,11.9877539996642,10.8048673709812,serum
365,11.9877539996642,10.8048673709812,serum
366,20.0306216932426,14.6940746314574,serum
367,11.9877539957921,10.8056868823057,serum
368,11.9877539957921,10.8056868823057,serum
369,20.0306216932426,14.6942043296478,serum
370,16.6986273825059,13.05862,plasma
371,11.9877540426485,,workbench
372,20.0306216932426,14.6943836203847,serum
373,11.9877540426485,,workbench
374,20.0306216932426,14.694664000749,serum
375,11.9877539810712,10.8091820516412,serum
376,11.9877539810712,10.8091820516412,serum
377,11.9877540426485,,workbench
378,20.0306216932426,14.6941890721517,serum
379,11.9877540426485,,workbench
380,11.9877539856745,10.8155639160083,serum
381,11.9877539856745,10.8155639160083,serum
382,20.0306216932426,14.6940336235262,serum
383,20.0306216932426,14.694411277249,serum
384,11.9877539971228,10.8068040503192,serum
385,11.9877539971228,10.8068040503192,serum
386,20.0306216932426,14.6940479278077,serum
387,12.9813884182382,11.1712999350608,serum
388,20.0306216932426,14.6948127747886,serum
389,20.0306216932426,14.6951532370388,serum
390,20.0306216932426,14.694257735242,serum
391,11.9877540426485,,workbench
392,20.0306216932426,14.6937723154113,serum
393,20.0306216932426,14.6954822531356,serum
394,11.9877540426485,,workbench
395,20.0306216932426,14.6938743584426,serum
396,11.9877540426485,,workbench
397,11.9877539954205,10.8038100361976,serum
398,11.9877539954205,10.8038100361976,serum
399,20.0306216932426,14.6954498283037,serum
400,20.0306216932426,14.6940774912906,serum
401,20.0306216932426,14.6936359409297,serum
402,20.0306216932426,14.6941032415363,serum
403,11.9877540426485,,workbench
404,11.9877539999519,10.8048067137922,serum
405,11.9877539999519,10.8048067137922,serum
406,11.9877539573403,10.8107495076024,serum
407,11.9877539573403,10.8107495076024,serum
408,11.9877540426485,,workbench
409,11.9877539991643,10.8082135155321,serum
410,11.9877539991643,10.8082135155321,serum
411,12.9813884182382,11.1704826362595,serum
412,20.0306216932426,14.6935949329985,serum
413,11.9877540426485,,workbench
414,16.6986273825059,13.05348,plasma
415,11.9877540000035,10.8080659381245,serum
416,11.9877540000035,10.8080659381245,serum
417,20.0306216932426,14.6944417956516,serum
418,20.0306216932426,14.6947364802976,serum
419,11.9877539988766,10.808338001191,serum
420,11.9877539988766,10.808338001191,serum
421,11.9877540426485,,workbench
422,20.0306216932426,14.694730758926,serum
423,20.0306216932426,14.6947774882289,serum
424,20.0306216932426,14.6957502360271,serum
425,11.9877540426485,,workbench
426,11.9877540426485,,workbench
427,11.9877539816227,10.8098006215302,serum
428,11.9877539816227,10.8098006215302,serum
429,11.9877540426485,,workbench
430,11.9877540426485,,workbench
431,11.9877539804239,10.8093467537576,serum
432,11.9877539804239,10.8093467537576,serum
