dataset,arm,patch_size,tokens,nhead,nhead_recorded,pooling,embed_dim,balanced_accuracy,roc_auc,n_samples
mtbls326,ps1024_d256_L6,1024,128,8,8.0,mean_pool,256,0.962962962962963,0.9975308641975309,42
mtbls326,ps1024_d256_L6,1024,128,8,8.0,flatten,32768,0.962962962962963,0.9925925925925926,42
mtbls326,exp7_D_baseline_v4,1024,128,4,4.0,mean_pool,128,0.8925925925925926,0.9580246913580248,42
mtbls326,exp7_D_baseline_v4,1024,128,4,4.0,flatten,16384,0.9296296296296296,0.9777777777777777,42
mtbls326,exp7_A_blk8,1024,128,4,4.0,mean_pool,128,0.9259259259259259,0.9827160493827161,42
mtbls326,exp7_A_blk8,1024,128,4,4.0,flatten,16384,0.9444444444444444,1.0,42
mtbls326,exp7_B_pk025,1024,128,4,4.0,mean_pool,128,1.0,1.0,42
mtbls326,exp7_B_pk025,1024,128,4,4.0,flatten,16384,1.0,1.0,42
mtbls326,exp7_C_blk8_pk025,1024,128,4,4.0,mean_pool,128,0.9111111111111111,0.9777777777777779,42
mtbls326,exp7_C_blk8_pk025,1024,128,4,4.0,flatten,16384,0.9111111111111111,0.9876543209876544,42
mtbls326,exp7_D_v4_seed101,1024,128,4,4.0,mean_pool,128,0.9481481481481482,0.9975308641975309,42
mtbls326,exp7_D_v4_seed101,1024,128,4,4.0,flatten,16384,0.962962962962963,0.9975308641975309,42
mtbls326,exp7_D_v4_seed202,1024,128,4,4.0,mean_pool,128,0.788888888888889,0.9382716049382717,42
mtbls326,exp7_D_v4_seed202,1024,128,4,4.0,flatten,16384,0.9111111111111111,0.9728395061728394,42
mtbls326,exp7_v3_pk025_r1,1024,128,4,4.0,mean_pool,128,0.962962962962963,1.0,42
mtbls326,exp7_v3_pk025_r1,1024,128,4,4.0,flatten,16384,0.962962962962963,1.0,42
mtbls326,exp7_v3_pk025_r2,1024,128,4,4.0,mean_pool,128,0.962962962962963,1.0,42
mtbls326,exp7_v3_pk025_r2,1024,128,4,4.0,flatten,16384,0.962962962962963,1.0,42
mtbls326,exp8_common9506,1024,128,4,4.0,mean_pool,128,0.9444444444444444,0.9925925925925926,42
mtbls326,exp8_common9506,1024,128,4,4.0,flatten,16384,0.962962962962963,1.0,42
mtbls326,exp8_v3rand9506_control,1024,128,4,4.0,mean_pool,128,0.9296296296296296,0.9876543209876544,42
mtbls326,exp8_v3rand9506_control,1024,128,4,4.0,flatten,16384,0.962962962962963,0.9950617283950618,42
barth,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.7701863354037267,0.8509316770186335,37
barth,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.8059006211180124,0.8819875776397517,37
barth,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.6770186335403727,0.8416149068322981,37
barth,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.8059006211180124,0.8944099378881988,37
barth,ps256,256,512,4,4.0,mean_pool,128,0.5838509316770186,0.6086956521739131,37
barth,ps256,256,512,4,4.0,flatten,65536,0.6195652173913043,0.6801242236024845,37
barth,ps128,128,1024,4,4.0,mean_pool,128,0.6195652173913043,0.7111801242236024,37
barth,ps128,128,1024,4,4.0,flatten,131072,0.65527950310559,0.7515527950310559,37
barth,ps2048,2048,64,4,4.0,mean_pool,128,0.7701863354037267,0.8944099378881987,37
barth,ps2048,2048,64,4,4.0,flatten,8192,0.7701863354037267,0.8881987577639752,37
barth,ps1024_d256_L6,1024,128,8,8.0,mean_pool,256,0.6335403726708074,0.7546583850931677,37
barth,ps1024_d256_L6,1024,128,8,8.0,flatten,32768,0.65527950310559,0.7950310559006211,37
barth,exp7_D_baseline_v4,1024,128,4,4.0,mean_pool,128,0.6909937888198758,0.8198757763975155,37
barth,exp7_D_baseline_v4,1024,128,4,4.0,flatten,16384,0.7484472049689441,0.8695652173913044,37
barth,exp7_A_blk8,1024,128,4,4.0,mean_pool,128,0.562111801242236,0.5931677018633541,37
barth,exp7_A_blk8,1024,128,4,4.0,flatten,16384,0.562111801242236,0.7360248447204969,37
barth,exp7_B_pk025,1024,128,4,4.0,mean_pool,128,0.6335403726708074,0.7049689440993788,37
barth,exp7_B_pk025,1024,128,4,4.0,flatten,16384,0.65527950310559,0.8136645962732919,37
barth,exp7_C_blk8_pk025,1024,128,4,4.0,mean_pool,128,0.65527950310559,0.7049689440993788,37
barth,exp7_C_blk8_pk025,1024,128,4,4.0,flatten,16384,0.6335403726708074,0.7732919254658386,37
barth,exp7_D_v4_seed101,1024,128,4,4.0,mean_pool,128,0.6273291925465838,0.7142857142857142,37
barth,exp7_D_v4_seed101,1024,128,4,4.0,flatten,16384,0.6987577639751552,0.7919254658385093,37
barth,exp7_D_v4_seed202,1024,128,4,4.0,mean_pool,128,0.6987577639751552,0.7453416149068324,37
barth,exp7_D_v4_seed202,1024,128,4,4.0,flatten,16384,0.6770186335403727,0.8509316770186335,37
barth,exp7_v3_pk025_r1,1024,128,4,4.0,mean_pool,128,0.6909937888198758,0.8322981366459627,37
barth,exp7_v3_pk025_r1,1024,128,4,4.0,flatten,16384,0.6909937888198758,0.84472049689441,37
barth,exp7_v3_pk025_r2,1024,128,4,4.0,mean_pool,128,0.6909937888198758,0.8322981366459627,37
barth,exp7_v3_pk025_r2,1024,128,4,4.0,flatten,16384,0.6909937888198758,0.84472049689441,37
barth,exp8_common9506,1024,128,4,4.0,mean_pool,128,0.6413043478260869,0.7391304347826088,37
barth,exp8_common9506,1024,128,4,4.0,flatten,16384,0.6909937888198758,0.8198757763975155,37
barth,exp8_v3rand9506_control,1024,128,4,4.0,mean_pool,128,0.7127329192546584,0.8819875776397514,37
barth,exp8_v3rand9506_control,1024,128,4,4.0,flatten,16384,0.7127329192546584,0.8385093167701864,37
