mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.25,7695,nn_copy,0.9935095310211182,0.9956463575363159,0.9780719876289368,0.9959848523139954,220.0
0.25,7893,dnn,0.9659907221794128,0.9967442750930786,0.9323957562446594,0.8528571724891663,
0.25,7893,corpus_mean,0.8328748345375061,0.6846391558647156,0.8863908052444458,0.5160253047943115,
0.25,7893,linear_interp,0.3536035428862441,0.9622370440689768,-0.23370764539803243,0.5425166998896119,
0.25,7893,pca50_from_visible,0.9038053154945374,0.8745527863502502,0.9072104692459106,0.42736735939979553,
0.25,7893,nn_copy,0.9340966939926147,0.8412779569625854,0.8838367462158203,0.7339130640029907,248.0
0.25,8090,dnn,0.8568673133850098,0.9798482060432434,0.45184484124183655,0.8632082343101501,
0.25,8090,corpus_mean,0.6368550062179565,0.4670042395591736,-0.08222899585962296,0.699702262878418,
0.25,8090,linear_interp,0.5743413445420242,0.9420867538946303,0.07166820770702052,0.6022733336178873,
0.25,8090,pca50_from_visible,0.8536792993545532,0.9365023970603943,0.4525235593318939,0.8401816487312317,
0.25,8090,nn_copy,0.840508222579956,0.8943992853164673,0.34955084323883057,0.8931134939193726,678.0
0.25,8287,dnn,0.9450364112854004,0.9578122496604919,0.9063751697540283,0.9341737627983093,
0.25,8287,corpus_mean,0.735153079032898,0.6690024733543396,0.5570119619369507,0.6795061230659485,
0.25,8287,linear_interp,0.45537258950182996,0.641305339717788,-0.02964949393695932,0.7913075611443549,
0.25,8287,pca50_from_visible,0.9480196833610535,0.9519848227500916,0.9173405170440674,0.8533797264099121,
0.25,8287,nn_copy,0.8613777160644531,0.8810364603996277,0.7557843923568726,0.9342241883277893,1251.0
0.25,8485,dnn,0.9272714853286743,0.9833596348762512,0.7718909978866577,0.8565887212753296,
0.25,8485,corpus_mean,0.35908469557762146,0.18399789929389954,-0.06836116313934326,0.5883474946022034,
0.25,8485,linear_interp,0.7762941153684464,0.9563120259008951,0.5984262305014747,0.7803613199105902,
0.25,8485,pca50_from_visible,0.9261369705200195,0.9744699001312256,0.9230185151100159,0.6923922896385193,
0.25,8485,nn_copy,0.9941138029098511,0.9936663508415222,0.9728479385375977,0.9823808073997498,343.0
0.25,8682,dnn,0.9965015649795532,0.9985907673835754,0.993394672870636,0.9569715857505798,
