row,block,study,lag
443,10,unassigned,6996
444,10,unassigned,6996
445,12,AMBIGUOUS: MTBLS147,-757
446,10,unassigned,6977
447,10,unassigned,6977
448,8,unassigned,4301
449,8,unassigned,4301
450,11,unassigned,-2887
451,12,AMBIGUOUS: MTBLS147,-757
452,12,AMBIGUOUS: MTBLS147,-755
453,12,AMBIGUOUS: MTBLS147,-780
454,11,unassigned,-2950
455,7,unassigned,1449
456,31,unassigned,2291
457,31,unassigned,2291
458,12,AMBIGUOUS: MTBLS147,-762
459,5,unassigned,-2961
460,10,unassigned,6972
461,10,unassigned,6972
462,12,AMBIGUOUS: MTBLS147,-758
463,11,unassigned,-2877
464,12,AMBIGUOUS: MTBLS147,-749
465,12,AMBIGUOUS: MTBLS147,-756
466,12,AMBIGUOUS: MTBLS147,-745
467,12,AMBIGUOUS: MTBLS147,-761
468,8,unassigned,4307
469,8,unassigned,4307
470,12,AMBIGUOUS: MTBLS147,-767
471,12,AMBIGUOUS: MTBLS147,-757
472,12,AMBIGUOUS: MTBLS147,-756
473,0,unassigned,2757
474,8,unassigned,4300
475,8,unassigned,4300
476,12,AMBIGUOUS: MTBLS147,-778
477,8,unassigned,4289
478,8,unassigned,4289
479,11,unassigned,-2875
480,10,unassigned,7011
481,10,unassigned,7011
482,12,AMBIGUOUS: MTBLS147,-760
483,12,AMBIGUOUS: MTBLS147,-756
484,10,unassigned,7009
485,10,unassigned,7009
486,12,AMBIGUOUS: MTBLS147,-756
487,12,AMBIGUOUS: MTBLS147,-763
488,2,unassigned,7003
489,12,AMBIGUOUS: MTBLS147,-755
490,32,unassigned,-1613
491,7,unassigned,1448
492,12,AMBIGUOUS: MTBLS147,-763
493,12,AMBIGUOUS: MTBLS147,-760
494,10,unassigned,6780
495,10,unassigned,6996
496,10,unassigned,6996
497,10,unassigned,6987
498,10,unassigned,6987
499,12,AMBIGUOUS: MTBLS147,-759
500,12,AMBIGUOUS: MTBLS147,-757
501,11,unassigned,-2870
502,12,AMBIGUOUS: MTBLS147,-755
503,12,AMBIGUOUS: MTBLS147,-761
504,8,unassigned,4305
505,8,unassigned,4305
506,16,unassigned,5505
507,16,unassigned,5505
508,12,AMBIGUOUS: MTBLS147,-761
509,12,AMBIGUOUS: MTBLS147,-762
510,10,unassigned,6984
511,10,unassigned,6984
512,8,unassigned,4311
513,8,unassigned,4311
514,12,AMBIGUOUS: MTBLS147,-757
515,7,unassigned,1450
516,12,AMBIGUOUS: MTBLS147,-759
517,12,AMBIGUOUS: MTBLS147,-756
518,12,AMBIGUOUS: MTBLS147,-781
519,10,unassigned,7004
520,10,unassigned,7004
521,10,unassigned,6989
522,10,unassigned,6989
523,7,unassigned,1453
524,12,AMBIGUOUS: MTBLS147,-752
525,12,AMBIGUOUS: MTBLS147,-761
526,12,AMBIGUOUS: MTBLS147,-782
527,12,AMBIGUOUS: MTBLS147,-755
528,10,unassigned,6787
529,11,unassigned,-2886
530,12,AMBIGUOUS: MTBLS147,-759
531,32,unassigned,-1602
532,12,AMBIGUOUS: MTBLS147,-764
533,12,AMBIGUOUS: MTBLS147,-664
534,12,AMBIGUOUS: MTBLS147,-761
535,12,AMBIGUOUS: MTBLS147,-756
536,16,unassigned,5556
537,16,unassigned,5556
538,12,AMBIGUOUS: MTBLS147,-759
539,8,unassigned,4290
540,8,unassigned,4290
541,12,AMBIGUOUS: MTBLS147,-764
