dataset,n_samples,family,model,fine_tune_mode,support_per_class,n_episodes,mean,std,se
Barth,37,masking,mask_metabolights,unfreeze_last_3,8,10,0.6783333333333333,0.12096576395568592,0.038252733300226695
Barth,37,masking,mask_metabolights,unfreeze_last_3,9,10,0.7100000000000002,0.06803027203996911,0.021513060948717185
Barth,37,masking,mask_metabolights,unfreeze_last_3,10,10,0.7134615384615385,0.11320955649497222,0.03580000514216207
Barth,37,masking,mask_metabolights,unfreeze_last_3,11,10,0.775,0.13777329741819164,0.043567742059328125
Barth,37,masking,mask_metabolights,unfreeze_last_3,12,10,0.6931818181818182,0.1174853213581123,0.03715212071284615
MTBLS326,42,classical,logistic_regression,-,2,10,0.7509230769230769,0.08546258086711468,0.02702564102564103
MTBLS326,42,classical,logistic_regression,-,4,10,0.8644268774703556,0.07200839069218658,0.022771052523057826
MTBLS326,42,classical,logistic_regression,-,6,10,0.9333333333333333,0.03909619725272207,0.012363303116981937
MTBLS326,42,classical,logistic_regression,-,8,10,0.9157894736842105,0.0762704039273128,0.024118819447135988
MTBLS326,42,classical,logistic_regression,-,10,10,0.916470588235294,0.045463142733143336,0.014376708062606556
MTBLS326,42,classical,logistic_regression,-,13,10,0.9571428571428573,0.0749149177264394,0.023690177073967145
MTBLS326,42,classical,svm_rbf,-,2,10,0.732923076923077,0.14505878560794339,0.045871615713915376
MTBLS326,42,classical,svm_rbf,-,4,10,0.7885375494071146,0.114556337914541,0.036225894821785294
MTBLS326,42,classical,svm_rbf,-,6,10,0.8595238095238095,0.11452612866931362,0.03621634181965398
MTBLS326,42,classical,svm_rbf,-,8,10,0.8165413533834587,0.128429915232447,0.04061310518368858
MTBLS326,42,classical,svm_rbf,-,10,10,0.8411764705882353,0.10207384380251268,0.03227858359442024
MTBLS326,42,classical,svm_rbf,-,13,10,0.8928571428571429,0.0752923252421043,0.02380952380952382
MTBLS326,42,classical,xgboost,-,2,10,0.5,0.0,0.0
MTBLS326,42,classical,xgboost,-,4,10,0.5,0.0,0.0
MTBLS326,42,classical,xgboost,-,6,10,0.784920634920635,0.1137535375491535,0.0359720270556813
MTBLS326,42,classical,xgboost,-,8,10,0.8830827067669172,0.08177975969592208,0.02586103071403528
MTBLS326,42,classical,xgboost,-,10,10,0.8929411764705882,0.1105993597519764,0.03497458845726008
