mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.25,7078,corpus_mean,0.8876298666000366,0.8074323534965515,0.8975319266319275,0.5182802081108093,
0.25,7078,linear_interp,0.43546699002028577,0.8819916075657974,0.44439374630850115,0.4282377077067374,
0.25,7078,pca50_from_visible,0.9030556678771973,0.9921221733093262,0.8863028883934021,0.43468788266181946,
0.25,7078,nn_copy,0.9882677793502808,0.9830256700515747,0.985317051410675,0.8944399356842041,4539.0
0.25,7274,corpus_mean,0.5108094215393066,0.4576720595359802,0.5703417658805847,0.5254377722740173,
0.25,7274,linear_interp,0.8708550526939786,0.829259849878677,0.8094428015738986,0.6804349096777211,
0.25,7274,pca50_from_visible,0.884463906288147,0.8854823708534241,0.8733201026916504,0.1662112921476364,
0.25,7274,nn_copy,0.9901784062385559,0.9844507575035095,0.9869410395622253,0.964552640914917,966.0
0.25,7471,corpus_mean,0.7544150948524475,0.7582136988639832,0.6096113324165344,0.8257482647895813,
0.25,7471,linear_interp,0.5302262424502957,0.878061766731245,0.5176622327411022,0.5038781369701618,
0.25,7471,pca50_from_visible,0.9363212585449219,0.9726236462593079,0.9250234365463257,0.8039326667785645,
0.25,7471,nn_copy,0.9637762904167175,0.9843665361404419,0.9521723985671997,0.9805169105529785,2196.0
0.25,7667,corpus_mean,0.5942781567573547,0.631870448589325,0.4487472176551819,0.46283480525016785,
0.25,7667,linear_interp,0.8216358672077396,0.8601724646472192,0.81643098304544,0.45594265409171797,
0.25,7667,pca50_from_visible,0.7096736431121826,0.7745084762573242,0.5419257879257202,0.47605615854263306,
0.25,7667,nn_copy,0.8880910873413086,0.9046252965927124,0.8077216744422913,0.9235316514968872,1067.0
0.25,7864,corpus_mean,0.8166167736053467,0.49879691004753113,0.6586976051330566,0.578090488910675,
0.25,7864,linear_interp,0.6960681646144689,0.9987320635107136,-0.06477807714742971,0.8496454777204547,
0.25,7864,pca50_from_visible,0.6127693057060242,0.9794552326202393,0.6664814352989197,0.30148738622665405,
0.25,7864,nn_copy,0.9321169257164001,0.977448046207428,0.8021631836891174,0.96855229139328,766.0
0.25,8061,corpus_mean,0.32979482412338257,0.6424717307090759,0.3075360953807831,0.18080459535121918,
0.25,8061,linear_interp,0.5442883382071155,0.8600191058763822,0.3588694940652583,0.539166803928776,
0.25,8061,pca50_from_visible,0.6349852681159973,0.9278457760810852,0.9097803235054016,0.2727310359477997,
0.25,8061,nn_copy,0.8594697713851929,0.9535343050956726,0.6806778907775879,0.8480792045593262,1072.0
0.25,8257,corpus_mean,0.6097947359085083,0.665961742401123,0.7556614279747009,0.41581621766090393,
