row_index,status,peak_index,peak_value,baseline,noise_sd,prominence,prominence_snr,dominance_ratio,left_index,right_index,suppression_width,cutoff
4707,suppressed,73145,1.0,0.00544244791592278,0.0042754787633069915,0.9974564282432969,233.2970138464179,30.487644132967322,73087,73210,123,0.03964627802237871
4708,suppressed,73134,1.0,0.004899017245087572,0.0034963373134451557,0.9973676299830505,285.26070014688685,32.35270131301566,73071,73202,131,0.03286971575264882
4709,suppressed,73120,1.0,0.006626004677404356,0.004773997913915204,0.9968913380297858,208.81687759520304,24.162769422340304,73065,73179,114,0.044817987988725994
4710,suppressed,72434,1.0,0.012443759688087594,0.004753131672786272,0.9927309891706135,208.8582975418978,14.631372494529069,72373,72502,129,0.05046881307037777
4711,suppressed,73135,1.0,0.007048668675671083,0.004638751393779197,0.9960115519687448,214.7154411647167,3.2059620886688345,73035,73195,160,0.044158679825904656
4712,suppressed,73194,1.0,0.00857850644414895,0.00593348880789279,0.9948657694357003,167.66961254099263,17.418245688384868,73144,73246,102,0.05604641690729127
4713,suppressed,73192,1.0,0.00609300588464593,0.005039630430964171,0.9973895830046218,197.90927066328618,26.043679768295718,73136,73249,113,0.0464100493323593
4714,suppressed,73188,1.0,0.0045549221489955775,0.002359010705690964,0.9971435255735644,422.69563388076995,49.97760530864254,73114,73266,152,0.023427007794523287
4715,suppressed,73182,1.0,0.00850920147305231,0.007116810871064288,0.9969851244190787,140.08874796331128,16.292691222576234,73136,73232,96,0.06544368844156662
4716,suppressed,73198,1.0,0.010573284033002256,0.009387432517790574,0.9959901106591076,106.09824451697085,10.33998055097,73157,73242,85,0.08567274417532685
4717,suppressed,73125,1.0,0.006046318394332591,0.00456335850765048,0.997097556455798,218.50081574440446,28.913693744263295,73070,73187,117,0.04255318645553643
4718,suppressed,73194,1.0,0.005770532638770658,0.004254163356112789,0.9970311585282324,234.36597870544927,26.519999956826997,73136,73253,117,0.039803839487672965
4719,suppressed,73179,1.0,0.007463828821193123,0.0056869391060700965,0.996390859637785,175.20688037159783,18.963129667870767,73127,73233,106,0.0529593416697539
4720,suppressed,73144,1.0,0.012080529245481565,0.00804241801190615,0.9934696249708231,123.52872276721648,14.976958771342089,73096,73197,101,0.07641987334073078
4721,suppressed,73104,1.0,0.006741339545057193,0.004902600351843317,0.9966747455559528,203.29512381755032,30.083309780365266,73047,73163,116,0.045962142359803726
4722,suppressed,73176,1.0,0.005001221440626966,0.003841471592010868,0.9974910737175278,259.66379024955336,30.88488417601957,73117,73237,120,0.03573299417671391
4723,suppressed,73196,1.0,0.005341262500577152,0.004287907687266641,0.9977944474410874,232.69961020945834,34.84888995356669,73139,73257,118,0.03964452399871028
4724,suppressed,73182,1.0,0.010674507132657194,0.006787546531568087,0.9930006954574646,146.29744206380528,18.329073632018552,73134,73236,102,0.06497487938520188
4725,suppressed,73177,1.0,0.007768123914607281,0.005327913958554209,0.9949403635269443,186.7410718841512,23.296431727646738,73122,73238,116,0.050391435583040954
4726,suppressed,73163,1.0,0.006909061092866445,0.00508497990235048,0.9963473022673166,195.93928027262513,22.795984113269977,73110,73219,109,0.04758890031167028
4727,suppressed,73124,1.0,0.005132037291457791,0.0036772064680097227,0.9977115583920005,271.3232360139976,37.89920369148199,73062,73189,127,0.03454968903553557
4728,suppressed,73203,1.0,0.00795663200818258,0.005431523528146545,0.995514618689544,183.28460026560057,18.588114830325665,73153,73261,108,0.05140882023335494
4729,suppressed,73205,1.0,0.00536837717720318,0.004187026406035932,0.9977680858303151,238.2999267432259,28.291190868478445,73149,73267,118,0.038864588425490634
4730,suppressed,72448,1.0,0.014673805792268173,0.004463657468920996,0.9897513274406088,221.73550151012424,12.67458762745642,72379,72516,137,0.05038306554363614
4731,suppressed,73198,1.0,0.006253192146478014,0.005020347299511139,0.9972360963239263,198.63886636309667,23.257749739647643,73144,73255,111,0.046415970542567124
4732,suppressed,73156,1.0,0.006240853870967588,0.004989423741023437,0.9972038825582346,199.86353821968362,21.980644794096296,73104,73215,111,0.04615624379915508
4733,suppressed,73195,1.0,0.005842134128602124,0.004897723742792318,0.9976260790852718,203.69178244351113,23.65971538336383,73143,73251,108,0.04502392407094066
4734,suppressed,73187,1.0,0.00526472342822664,0.003832913223836322,0.9973322157728893,260.2021380423192,34.94898140951123,73125,73254,129,0.03592802921891722
4735,suppressed,73129,1.0,0.00452720003125294,0.0034016880251738274,0.9979880538065444,293.3802413451912,34.90500780472524,73067,73197,130,0.03174070423264356
4736,suppressed,73167,1.0,0.004900384616486899,0.0037852909420793127,0.9975320474533775,263.52850090445605,27.633938227555458,73107,73232,125,0.0351827121531214
4737,suppressed,73180,1.0,0.007071722360195979,0.004630540105789983,0.9959100906994113,215.07428246958378,28.462317503197543,73124,73237,113,0.04411604320651585
4738,suppressed,73179,1.0,0.00649481021684614,0.004669845524970585,0.9967621725333811,213.44649779173577,29.5429869938966,73122,73236,114,0.04385357441661082
4739,suppressed,73085,1.0,0.00836175183268139,0.005456046746958819,0.9955476894525258,182.4668547804215,24.287379233512937,73025,73147,122,0.05201012580835194
4740,suppressed,73174,1.0,0.007516971999408235,0.006167333876281455,0.997108443766855,161.67576845508057,17.931672688985113,73126,73224,98,0.056855643009659874
4741,suppressed,73181,1.0,0.006083004273565344,0.004444065083949888,0.997258853418556,224.40239613507,28.157668140877274,73120,73246,126,0.041635524945164454
4742,suppressed,73182,1.0,0.005538652879261049,0.004069940254181368,0.9973841339135798,245.06112415013686,35.310387487171994,73123,73242,119,0.038098174912711995
4743,suppressed,73177,1.0,0.005732508568191021,0.0040631596063451765,0.9970156286253772,245.3793907254841,28.41965256240087,73118,73239,121,0.03823778541895243
4744,suppressed,73178,1.0,0.006348072295665204,0.004205993840789726,0.9964932928261061,236.92219497853628,25.501260089844262,73120,73238,118,0.03999602302198301
